Business Name,Trade,London Area,Phone,Email,Website,Website Score,Biggest Flaw,Group
Surespark Electrical,Electrician,Leytonstone,020 3582 4572,,https://www.suresparkelectrical.uk,4,"A thin dated four-page site padded with credited stock photography and repetitive Leytonstone keyword-stuffing, with no copyright year.",A
KFM Roofing,Roofer,Stratford,07708 570709,info@kfmsolutions.co.uk,https://www.kfmroofing.co.uk,4,"An early-2010s layout with a 2021 copyright and headings crammed with repeated roofing keywords, which makes it feel dated and a bit spammy.",A
Eastend Plumbers,Plumber,Stratford,020 8611 2591,info@eastendplumbers.co.uk,https://eastendplumbers.co.uk,4,"Several homepage images are broken empty placeholders so visitors see blank boxes instead of work, alongside repetitive Stratford plumber keyword-stuffing.",A
HouseProud Roofing,Roofer,Plumstead,07903 356191,enquiries@houseproudroofing.co.uk,https://www.houseproudroofing.co.uk,5,"It is built as old static .html/.php pages with no mobile viewport, so on a phone — where most people now search — it is a struggle to read.",A
Aldersbrook Roofing,Roofer,Ilford,0800 956 1996,,https://aldersbrookroofing.co.uk,5,"The footer copyright reads 2017 and the mid-2010s design leans on stock and placeholder gallery images, so it looks neglected.",A
SW6 Fulham Ltd,Roofer,Fulham,020 7205 4949,info@sw6fulham.co.uk,https://www.sw6fulham.co.uk/,5,"The homepage serves empty placeholder image boxes on a dated mid-2010s layout, so it looks half-loaded and neglected.",A
RM Roofing & Property Ltd,Roofer,Ealing,020 8945 5223,,https://www.rmroofingandproperty.co.uk/,5,Built on an early-2010s banner-slider template with tab-based service boxes and no modern responsive styling.,A
MPE Plumbing Heating Gas,Plumber,Hounslow,020 8896 3477,kevin@mpeservices.com,https://www.mpeservices.com/,5,"A mid-to-late 2010s template design with a copyright now three years stale, which makes an active business look like it has drifted.",A
DKP Electrics,Electrician,Ealing,07947 912522,,https://www.dkpelectrics.co.uk/,3,"An early-2000s static HTML/PHP site with a .gif logo, no copyright notice and no responsive design at all.",A
JP Building Services,Roofer,Wandsworth,07762 003177,jp.buildingservices@mail.com,https://jpbuildingservicesuk.co.uk/,6,A dated 2015-2018-era WordPress layout with a free @mail.com contact address and several images that do not load.,A
System Electrics (Contracts) Ltd,Electrician,Hounslow,020 8878 0281,info@systemelectrics.co.uk,https://www.systemelectrics.co.uk/,4,"An unmaintained early-2010s .php site with a 2020 copyright and a latest news post from January 2021, so it reads as if the business has wound down.",A
ETS Roofing Services Ltd,Roofer,Hammersmith,020 8226 4236,info@etsroofingltd.co.uk,https://www.etsroofingltd.co.uk/,5,A dated mid-2010s .php site built around image-based navigation tabs and a basic banner carousel that sit badly on a phone.,A
24-7 TT Plumbing & Heating,Plumber,Kentish Town,07904 847696,,https://www.ttplumbingheating.co.uk/,4,"A dated early-2010s design served from legacy .htm pages with a 2013 copyright and heavy keyword repetition, not built for mobile.",A
DN Electrics,Electrician,Crouch End,020 8611 2825,,https://dnelectrics.co.uk/,3,"The site is visibly broken: a timeout error message renders on the page, the callback form fails, and unfinished 'Sample Page' and 'test' placeholder pages are left live in the menu.",A
L Jeffery Roofing,Roofer,Haringey,07981 403026,info@ljefferyroofing.com,https://www.ljefferyroofing.com/,3,"The homepage slider still shows the template's 'dummy' placeholder images with a 2018 copyright underneath, so it looks unfinished and dated.",A
Advanced Professional Plumbing & Heating Services London,Plumber,Southwark,020 7166 7835,office@advancedheatinglondon.co.uk,http://www.advancedheatinglondon.co.uk/,2,"The copyright says 2011 with awards frozen at 2008-2012 and no mobile version at all, so it looks abandoned even though the business is still trading.",A
Stoke Newington Boiler Repair & Plumbing,Plumber,Stoke Newington,020 3519 4697,,https://stokenewingtonboilerrepairplumbing.co.uk/,3,"A dated non-responsive WordPress site with a broken footer logo, a visible spelling error, a 2020 copyright and a huge keyword dump.",A
R&P Roofing Brixton,Roofer,Lambeth,07492 915042,info@rproofingbrixton.co.uk,https://rproofingbrixton.co.uk/,6,"Every single photo in the Brixton portfolio gallery is a broken missing-image placeholder, so the one section meant to prove the work shows only empty boxes.",A
Gunner Brown Ltd,Roofer,Stoke Newington,07553 278874,,http://www.gunnerbrown.co.uk/,3,"A half-finished template site with leftover automotive-garage demo content, a web developer's name used as a fake team member, and '[TBC]' placeholder text.",A
Flowline Heating & Plumbing Ltd,Plumber,Hackney,07444 204414,info@flowline247.co.uk,https://flowline247.co.uk,4,"A dated template leaning on generic stock photos with a 2022 copyright, so it reads as off-the-shelf rather than a real local firm.",A
NR Heating & Domestic,Plumber,Barnet,020 3633 1024,,https://nrheatingdom.com,3,"Broken placeholder images throughout the page plus heavy 'Emergency Plumbers Barnet' keyword-stuffing, so it looks unfinished and spammy.",A
BBS Plumbing and Heating,Plumber,Palmers Green,020 8888 3686,,https://www.bbsplumbandheat.co.uk,6,"Placeholder graphics that fail to load instead of real photos and no copyright year, so the site feels dated and unfinished.",A
Greenstone Electrical Ltd,Electrician,Hackney,020 3130 6786,info@greenstoneelectrical.co.uk,https://greenstoneelectrical.co.uk,3,"A dated, basic layout padded with generic stock imagery and repetitive copy, which undersells an established electrician.",A
Bromley Roofer Ltd,Roofer,Bromley,07760 243048,bromleyrooferltd@gmail.com,https://bromleyrooferltd.co.uk,4,The WordPress theme's demo content was never removed — placeholder filler text and 'project' links still point to the theme author's demo site.,A
Top Central Heating,Plumber,Sydenham,020 3432 1817,,https://www.topcentralheating.co.uk/,5,"A pre-2020 design with a 2019 copyright and heavy 'Sydenham plumbers/boiler/engineers' keyword-stuffing, so it looks dated and neglected.",A
K2 Gas Plumbing & Heating,Plumber,Croydon,020 8402 0034,info@k2gas.co.uk,https://www.k2gas-plumbingandheating.co.uk,5,"A dated RevSlider build still showing the plugin's 'dummy' placeholder images, with no copyright year.",A
Pulse Plumbing & Heating Ltd,Plumber,Croydon,020 8088 1195,,https://www.pulseplumbers.co.uk,6,"Every service card uses the same broken placeholder image, so the whole site looks unfinished.",A
Ohmatic Electrical Ltd,Electrician,Peckham,07982 306772,info@ohmaticelectrical.co.uk,https://ohmaticelectrical.co.uk,6,"The footer copyright still reads '© [year]' because the template placeholder was never filled in, and the service copy is generic and repetitive.",A
Mr Banah Gas & Electrical,Plumber,Lewisham,07930 636989,Mrbanahgas@hotmail.com,none,,No working website — the custom domain is dead and only a free Wix subdomain (copyright 2019) and a Facebook page remain — so invisible in Google search for a Lewisham gas or heating engineer.,B
Hai Cafe,Café,Hackney,07378 638044,haicafelondon@gmail.com,https://www.hai-cafe.com/,5,"The site is a dated Squarespace build with a 2018 copyright and no online ordering, an out-of-date first impression for a popular café.",A
Petitou Cafe,Café,Peckham,020 7639 2613,petitoucafe@gmail.com,https://petitoucafe.com/,6,"It is a tired stock Squarespace template with no refresh signals and no online ordering, looking plain next to modern café sites.",A
Maggie's Cafe and Restaurant,Café,Lewisham,020 8244 0339,info@maggiesrestaurant.co.uk,https://maggiesrestaurant.co.uk/,4,It is an aging site with several broken images and duplicated contact and hours blocks.,A
Refill Eaterie,Caribbean Takeaway,Brixton,020 7274 5559,,none,,No official website — only a community-editable directory listing you don't control — so you are invisible in Google for a Brixton takeaway.,B
True Flavours Caribbean Cuisine,Caribbean Takeaway,Brixton,07572 088551,,none,,No real website — the domain just redirects to a third-party directory listing rather than a site you own.,B
West London Gardeners,Gardener,Ealing,07761 303641,kieranleonardcontact@gmail.com,https://www.westlondongardeners.co.uk/,4,"The footer copyright is frozen at 2012 and it is a non-responsive early-2010s banner design, making the business look defunct.",A
MC Paving & Landscaping Ltd,Driveways,Barnet,020 8419 1060,info@mcpavingandlandscaping.co.uk,https://www.mcpavingandlandscaping.co.uk/,4,It runs on an early-2010s jQuery carousel with generic placeholder banners and almost no real portfolio photography.,A
Masonside Ltd,Driveways,Croydon,020 8213 7018,info@masonsidedrivesandpatios.co.uk,https://www.masonsidedrivesandpatios.co.uk/,4,"The testimonials page linked in the nav just says 'COMING SOON', and the rest is a dated 2000s-style banner layout.",A
Bromley Gardeners,Gardener,Bromley,0208 106 0974,,https://bromleygardeners.com/,5,A dated 2015-18 layout with a sloppy 'gARDEN oVERHAULS' capitalisation error and no email address at all.,A
Cornerstone Paving Ltd,Driveways,Harrow,020 8485 8422,info@cornerstonepavingltd.co.uk,https://www.cornerstonepavingltd.com/,5,"It relies on basic carousel sliders and simplistic graphics rather than any modern design, so it reads as an old template.",A
TW Contractors,Driveways,Bexleyheath,07874 782625,twcontractorsuk@gmail.com,https://www.twcontractors.co.uk/,5,"The footer copyright is stuck at 2022 and it uses 2010s-era sliders, signalling neglect for an award-winning firm.",A
K&J Surfacing Ltd,Driveways,Croydon,07834 286766,info@kandjsurfacing.co.uk,https://www.kandjsurfacing.co.uk/,5,A mid-2010s jQuery slider design leaning on generic placeholder banners rather than real project work.,A
London Tree Specialist,Gardener,Barnet,07887 807327,info@londontreesandlandscapes.co.uk,https://www.londontreesandlandscapes.co.uk/,5,"An early-2010s design with cluttered, redundant navigation and generic stock landscaping photos.",A
Barnet Lock & Safe Co,Locksmith,Barnet,020 8440 5210,,https://www.barnetlocksmith.co.uk/,5,"A dated layout mixing generic stock safe imagery with its own shop photo, and no email contact at all.",A
LC Driveways Limited,Driveways,Romford,0208 895 2010,info@lcdriveways.co.uk,https://lcdriveways.co.uk/,6,The footer copyright is frozen at 2023 with dated styling and generic illustration images in the service sections.,A
Majestic Drives & Patios Ltd,Driveways,Ilford,01708 288089,info@majesticdrivesandpatiosltd.co.uk,https://www.majesticdrivesandpatiosltd.co.uk/,6,A banner-heavy layout with dated gradient effects and weak visual hierarchy that reads as an old carousel template.,A
A. Locksmith,Locksmith,Ilford,07990 827063,info@alocksmithilford.co.uk,https://www.alocksmithilford.co.uk/,6,"Multiple broken image files render as blank placeholders across key service sections, undermining the whole page.",A
Marwan Motors,Car Garage,Woolwich,020 8465 7749,info@marwanmotors.co.uk,https://marwanmotors.co.uk/,3,The footer copyright reads 2020-2021 and the page is keyword-stuffed with broken placeholder images and empty testimonials.,A
PD Motors Ltd,Car Garage,Croydon,020 8684 2002,pdmot1@aol.com,https://www.pdmotors-limited.co.uk/,4,A dated template layout with pixelated low-resolution banner graphics and no copyright year anywhere.,A
Croydon MOT Tyre and Service Centre,Car Garage,Croydon,020 8680 2860,info@croydonmotcentre.co.uk,https://www.croydonmotcentre.co.uk/,4,"It uses irrelevant low-res placeholder photos on an automotive site, with contact details cluttered across the header.",A
Blackhorse Service Station,Car Garage,South Norwood,020 8654 3126,blackhorseservicestation@hotmail.co.uk,https://blackhorseservicestation.com/,4,The footer reads 2017 and it is an untouched 2017 build with dated imagery and a broken contact form.,A
Eltham Test Centre,Car Garage,Eltham,020 8850 0015,,https://www.elthamtestcentre.org.uk/,4,"The homepage slider still shows unedited template placeholders like 'Slide title' and 'Write your caption here', with a broken nav link.",A
Armer Fit Personal Training,Personal Trainer,Enfield,07900 180779,tom@armerfit.com,https://www.armerfit.com/,5,The footer reads 2020 and it is a sparse layout with a broken social widget and stock banner images.,A
U-Shape,Personal Trainer,Wandsworth,07909 841313,nadya@u-shape.co.uk,https://www.u-shape.co.uk/,4,The footer reads copyright 2018 on a dated framework with basic typography and minimal image optimisation.,A
Amelia Fitness,Personal Trainer,Barnet,07952 761508,info@ameliafitness.co.uk,https://www.ameliafitness.co.uk/,6,"The footer reads 2018 and several main-nav links resolve to the same page, so it is stale and partly non-functional.",A
Feeling Groomy,Dog Groomer,Bromley,020 8290 1074,,https://feelinggroomy.com/,4,The footer reads 2017 and pages use generic stock placeholder images with repeated heading text.,A
Cut & Bubble,Dog Groomer,Romford,07803 769363,kevin@cutandbubble.co.uk,https://www.cutandbubble.co.uk/,5,A low-polish Wix template with generic stock imagery and multiple duplicated opening-hours sections.,A
Groom for Improvement,Dog Groomer,Sutton,07399 581845,info@groomforimprovement.uk,https://groomforimprovement.uk/,6,The footer reads 2018 and the live site leaks internal staging URLs with placeholder Instagram images instead of real content.,A
Walthamstow Removals,Removals,Walthamstow,0208 914 7846,info@walthamstowremovals.co.uk,https://walthamstowremovals.co.uk/,4,"A dated single-page brochure with a 2019 copyright and a duplicated footer, showing no updates in years.",A
Barnet Removals,Removals,Barnet,020 4538 0028,contact@barnetremovals.co.uk,https://barnetremovals.co.uk/,5,"The main 'request a quote' buttons are broken due to malformed links, so your key conversion buttons do not work.",A
Enfield Removal Services,Removals,Enfield,01992 471370,bpcollisers@gmail.com,https://www.enfieldremovals.co.uk/,3,"The homepage carousel still shows default placeholder text like 'Slide title' and stock images, looking abandoned mid-build.",A
Andy Removals,Removals,Tottenham,020 8077 2434,,https://andyremovals.com/,5,"A dated mid-2010s design with no copyright year and no mobile optimisation, so it renders poorly on phones.",A
The Groom Lounge,Barbershop,Peckham,020 7640 0004,info@thegroomlounge.co.uk,https://thegroomlounge.co.uk/,3,"The homepage footer has been compromised with injected spam links and the copyright is stuck at 2020, signalling a neglected site.",A
Dak'Sheens Hair & Beauty,Hair & Beauty Salon,Lewisham,020 8852 7587,enquiries@daksheen.co.uk,https://www.daksheen.co.uk/,4,A dated early-2010s website-builder template with leftover placeholder text and generic carousel slides.,A
CC Creations Hair & Beauty,Hair & Beauty Salon,Lewisham,07944 057265,caroncousinscc2@gmail.com,https://cccreationshairandbeauty.co.uk/,3,"There is no online booking (only a callback form), low-resolution gallery images and a basic template layout.",A
Mode Hair & Beauty,Hair & Beauty Salon,Croydon,020 8657 8357,naikarado@hotmail.com,https://www.modehairandbeautycroydon.co.uk/,3,"The footer copyright is stuck at 2022, there is no online booking, and the galleries are basic mid-2010s design.",A
Vintage 62,Hair Salon,Croydon,020 8657 1224,info@salonvintage62.co.uk,https://salonvintage62.co.uk/,4,The homepage renders blank placeholder images instead of real photos and has minimal responsive styling.,A
Hair Salon Image,Hair Salon,Brockley,020 3719 2302,info@hairsalonimage.co.uk,https://hairsalonimage.co.uk/,5,"A dated design relying on blank placeholder graphics with no online booking, just a contact form.",A
Slims Barbers,Barbershop,Tottenham,0203 556 4066,info@slimsbarbers.co.uk,https://slimsbarbers.co.uk/,3,"A basic, dated layout with no mobile design and no online booking — just static hours and a price list.",A
Broadway Beauty Salon,Nail & Beauty Salon,Ilford,020 8553 7798,info@broadwaybeauty.salon,https://broadwaybeautydotsalon.wordpress.com/,6,"Built on a dated free WordPress.com template, and its booking system says it is 'currently under development'.",A
Hair Club Camden,Hair Salon,Camden,07759 657958,camdenhairclub@gmail.com,https://hairclubcamden.co.uk/,4,The homepage still shows unedited template placeholder text and broken opening hours ('Sunday: 10:00 PM - 7:00 PM').,A
Rose Hair and Beauty,Hair & Beauty Salon,Ealing,020 8840 2600,rose@rosehairandbeauty.co.uk,https://www.rosehairandbeauty.co.uk/,5,"The copyright reads 2021, the hero is a credited stock photo, and there is no online booking.",A
Hanan Beauty Salon,Beauty Salon,Shepherds Bush,020 8743 7372,info@hananbeautysalon.co.uk,https://hananbeautysalon.co.uk/,5,A dated mid-2010s static site with keyword-stuffed copy and no online booking.,A
Jackie & Co,Hair & Beauty Salon,Hammersmith,020 7937 6486,jackieandco@hotmail.com,https://jackieandco.co.uk/,5,"A dated Weebly site with no copyright year and a static, image-heavy early-web layout.",A
RAM Barbers,Barbershop,Walthamstow,07465 275009,info@rambarbers.com,https://www.rambarbers.com/,6,A generic Wix template on stock photos with a 2023 footer and no phone number listed anywhere on the site.,A
Zino Professional Barbers,Barbershop,New Cross,020 3759 5115,,none,,No real website — only a UENI builder subdomain and a Facebook page — so you are invisible in Google for a New Cross barber.,B
Dyamy's Nails,Nail Salon,Ilford,07553 564477,,none,,No real website — only a UENI builder subdomain — so Ilford customers searching for a nail salon cannot find you.,B
Iva Cleaning Services,Cleaning,Enfield,020 3488 5989,office@iva-cleaninglondon.co.uk,https://www.iva-cleaninglondon.co.uk,5,"The logo renders as raw placeholder code and the payment icons are broken, on a generic template with a boilerplate 2026 copyright.",A
Busy Hands Cleaners,Cleaning,Croydon,0208 768 4102,info@busyhandscleaners.co.uk,https://busyhandscleaners.co.uk,4,A dated early-2010s design with placeholder 'dummy.png' images in the slideshow and heavy postcode keyword-stuffing.,A
Lily's Cleaners,Cleaning,Wandsworth,020 3745 8267,,https://www.lilyscleaners.co.uk,4,"A dated 2010s WordPress template with thin repetitive copy, unnatural keyword-stuffing and a stale 2026 copyright.",A
EAL End of Tenancy Cleaning,Cleaning,Ealing,07418 353596,,https://ealingendoftenancy.uk,6,A thin template with no real About content or testimonials — just generic service tiles behind a professional veneer.,A
Carpets 4 Life,Flooring,Woolwich,020 3952 0330,sales@carpets4life.co.uk,https://carpets4life.co.uk/,2,"The site still shows Lorem Ipsum placeholder text and broken images, with service links misrouting and keyword-stuffed page titles.",A
GM Carpets,Flooring,Sutton,020 8669 9696,,http://www.gm-carpets.co.uk/,2,"A very dated site using old image-carousel files and placeholder image paths, with no email and no copyright year.",A
Diamond Cut Carpets & Flooring,Flooring,Leyton,020 7118 7750,,https://diamondcutcarpetsandflooring.co.uk/,3,"A dated early-2010s design with duplicated navigation menus, generic stock imagery and no email contact.",A
Farrants Flooring & Carpet Fitter,Flooring,Sutton,020 8251 8980,info@farrantsflooring.co.uk,https://www.farrantsflooring.co.uk/,5,A basic mid-2010s layout with a template copyright bug showing 2026 and stock imagery — functional but visually dated.,A
Sundridge Homes & Gardens,Fencing,Bromley,020 3488 2942,,https://manorfencingbromley.co.uk/,3,A dated layout with a broken navigation link and a keyword-stuffed header cramming multiple area names for SEO.,A
Julio Garden Services,Fencing,Enfield,07411 030779,,https://www.juliogardenservices.co.uk/,3,"A basic template frozen at a 2016 copyright, using stock aerial images rather than real project photos, with no email.",A
MGF Fencing,Fencing,Enfield,020 8367 4419,,https://mgf-fencing.co.uk/,3,"A dated design relying on stock and placeholder images, with no email (phone only) and thin page content.",A
Oakhill Fencing,Fencing,Kingston,020 3811 8276,info@oakhillfencing.co.uk,https://oakhillfencing.co.uk/,4,"A dated aesthetic with a broken homepage banner, cluttered nested menus and a copyright frozen at 2019.",A
Forsdyke Carpentry,Carpenter,Beckenham,07787 765645,,https://forsdykesecure.co.uk/,4,"An aging site built around early-2000s clip-art icons and a stock carpenter photo, copyright frozen at 2019, not mobile-responsive.",A
Bromley Tiler,Tiler,Bexleyheath,07990 521717,info@bromleytiler.co.uk,https://bromleytiler.co.uk/,6,An otherwise-modern site undermined by a broken stats counter reading '0 Years' experience and long keyword-heavy area lists.,A
St James Plastering,Plasterer,Wandsworth,07970 308825,,https://www.stjamesplastering.co.uk/,2,"The footer reads 'Copyright 2006' and the entire site is an old multi-page .htm layout with no viewport meta tag, so it is non-responsive and looks around 20 years out of date on a phone.",A
Plasterer Bromley,Plasterer,Bromley,020 8460 0151,,https://www.plastererbromley.co.uk/,4,"Runs on WordPress 5.6 (a 2020 release) with the footer copyright frozen at '2022', i.e. an unpatched, neglected site over three years out of date.",A
PR Henry Builder,Plasterer,Walthamstow,07977 901332,info@prhenrybuilder.co.uk,https://www.prhenrybuilder.co.uk/,6,"The footer copyright is stuck at 2024 and nearly every heading repeats 'Plasterer Walthamstow' / 'plastering company in Walthamstow', giving a keyword-stuffed feel.",A
Rob The Builder,Painter/Decorator,Ilford,07375 218219,info@robthebuilder.co.uk,https://www.robthebuilder.co.uk/,6,"The footer copyright reads 2024 and the decorating page repeatedly stuffs 'Painting & decorating Ilford, IG1' into headings and body copy.",A
S&J Webster Decorators,Painter/Decorator,Bexleyheath,0203 556 7563,sj.webster2017@yahoo.com,https://www.sandjwebsterdecorators.com/,6,"The 'General Small Building Works' section shows empty placeholder images instead of real photos, and the footer carries a long list of ~15 area-name links that reads as location keyword stuffing.",A
Imperial Plasterers & Builders,Plasterer,Catford,07778 266911,imperialplasterers@hotmail.co.uk,none,,"Has no standalone website at all, only a Facebook page plus directory listings, despite 16+ years trading and a published mobile, landline and email address.",B
Edmonton Green Painters & Decorators,Painter/Decorator,Edmonton,07756 968944,infolondonpainters@gmail.com,none,,"No real website, only a free Google Sites page on a sites.google.com/view subdomain, despite a published mobile, email and a 5-star Google review.",B
The Flower Shop Enfield,Florist,Enfield,020 7323 9373,caroline4flowers@yahoo.co.uk,https://www.theflowershopenfield.co.uk/,5,"It is a visibly dated brochure site still carrying IE8/IE9-specific stylesheets and a shelved '2020 redesign', with basic product pages and no modern mobile-first layout.",A
S and L Florist,Florist,Islington,07391 427963,,none,,"It has no independent website of its own, only a directory profile, so there is no branded, bookable web presence for the only florist actually based in the area.",B
Valley Groomers,Dog Groomer,Chingford,020 8529 9311,,https://www.valleygroomers.co.uk/,1,"The domain no longer loads a website at all - it shows a Wix 'This domain isn't connected to a site' holding page, so anyone searching for the salon and clicking through finds nothing.",A
Good Hope Cafe,Cafe,Hither Green,020 8852 7888,,http://goodhopecafe.com/,1,"The website is completely down and returns a raw server error page reading 'Site not found', which is what customers see when they click the link on the cafe's Google listing.",A
Funky Dogs,Dog Groomer,Chingford,07947 127816,,http://funkydogs.org.uk,1,"The published website address does not load at all - the request times out with no page returned, so the link on their Facebook page is a dead end for customers.",A
PML Handyman,Handyman,Wandsworth,020 8874 3512,info@pmlhandyman.co.uk,https://www.pmlhandyman.co.uk/,3,"The homepage embeds a live Google review feed and one of the first reviews visible reads 'Think before using this company!! You have been warned!', sitting directly above the contact details, and the service photos still date from 2018.",A
Building & Handyman,Handyman,Battersea,0207 924 3650,info@buildinghandyman.com,https://www.buildinghandyman.com/,4,"Every image on the site is a 2018 stock photo and the homepage is one long wall of unbroken text with the price list buried near the bottom, so on a phone a customer has to scroll a very long way before finding anything actionable.",A
The Local Handyman London,Handyman,Greenford,07444 262522,info@localhm.co.uk,https://www.localhm.co.uk/,5,"The homepage is dominated by five near-identical promotional graphics saved as heavy uncompressed images, which makes the page slow on mobile and pushes the actual services list well below the fold.",A
Kushiara,Travel Agent,Whitechapel,+44 20 7790 1234,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Eye Emporium,Optician,Stratford,+44 20 8522 1034,,https://www.eye-emporium.com/,5,"There is no clickable phone number anywhere on the homepage, so a customer ready to call has to hunt for a way to get in touch.",A
Newington Green Fruit & Vegetables,Greengrocer,Islington,+44 20 7354 0990,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Watney Eyecare,Optician,Whitechapel,+44 20 7702 8256,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
Jet-Fly,Travel Agent,Leytonstone,+44 20 8556 1818,,http://www.jetfly.co.uk/,1,"The website address published for the business does not load at all — the request fails outright, so anyone clicking the link from a search result or directory listing reaches nothing.",A
tripstudio,Travel Agent,Leyton,+44 20 8819 1431,,,,"The business has no website at all, so when local customers search for this trade nothing of theirs comes up and the enquiry goes to a competitor who does have a page.",B
